;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023
Rachunek bieżący bilansu płatniczego (stan w końcu okresu);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-2960;-3630;-3011;-2744;-1545;-1950;-2230;-2470;-2419;-3034;-2907;-4385;-4199;-5839;-4756;-6090;-4676;-6338;-6870;-6757;-1174;-3108;-3592;-4404;-4185;-3370;-5437;-5543;-3874;-5766;-5521;-3987;-5726;-4124;-3960;-1998;-2297;-3071;-1833;-459;-3721;-4789;-3245;40;-1624;-2227;-3027;1357;-889;348;-4611;862;-189;-2214;-1798;-1070;-1945;-1847;-4560;-1283;-1057;-1230;-2028;3068;1028;4084;1653;6046;618;1806;-5232;-4590;-5592;-3348;-5085;-1691;5089;1181;1902;
inwestycje bezpośrednie:;;;;;;;;;;;;;;;;;4858;3306;2073;2643;2512;2105;1841;5865;5022;2885;2320;15238;5497;3890;6715;7561;6755;3884;2000;39;4725;3640;4037;2077;6949;-852;4768;9905;8989;4316;3344;-185;-810;635;3031;4053;1438;-1711;2979;-4185;6004;5149;4998;4224;7206;1893;6863;2527;7742;2787;3553;14919;3516;-680;3291;7674;7770;1584;5560;3222;9397;1403;7061;2605;6816;-2197;8673;7490;13168;5783;11605;8571;17283;7693;11100;9207;11352;4219;11612;
aktywa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;470;349;323;569;259;787;200;2148;619;603;918;6304;556;523;1622;2710;1973;1198;658;-871;1703;1752;581;333;1184;-407;1935;4409;2847;1636;125;-1229;-73;-613;996;968;9;-1480;1360;-2201;576;2291;1127;1046;1975;1142;2212;-851;1743;595;890;9647;823;321;28;2241;1626;-700;178;882;1015;896;1455;1438;344;-1951;2859;2880;2662;2117;1569;2227;3305;1174;2442;3759;1119;1088;2023;
pasywa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4388;2957;1750;2074;2253;1318;1641;3717;4403;2282;1402;8934;4941;3367;5093;4851;4782;2686;1342;910;3022;1888;3456;1744;5765;-445;2833;5496;6142;2680;3219;1044;-737;1248;2035;3085;1429;-231;1619;-1984;5428;2858;3871;3178;5231;751;4651;3378;5999;2192;2663;5272;2693;-1001;3263;5433;6144;2284;5382;2340;8382;507;5606;1167;6472;-246;5814;4610;10506;3666;10036;6344;13978;6519;8658;5448;10233;3131;9589;
inwestycje portfelowe:;;;;;;;;;;;;;;;;;3765;1909;1433;2435;5154;6856;1882;-89;4000;-1503;705;1963;365;827;533;2855;-2457;2952;-1639;-4212;-1110;3677;6250;3493;8387;3849;7807;2840;3228;4809;2945;185;4769;3276;4185;3849;4229;-917;-156;502;751;7487;2459;-3672;3525;3484;4063;9034;-6207;7203;-891;-7547;4216;881;1179;643;1995;-3368;-499;-892;-1545;-1228;-5060;-3524;-2113;-5650;1138;-6831;-147;-1843;1813;-1353;-3433;4506;795;6975;4535;9937;4220;
aktywa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;444;47;110;452;382;734;662;228;836;362;929;1555;468;1415;1583;1138;-670;1041;-1378;-693;-123;302;569;260;14;-176;24;160;484;225;-727;-484;178;-151;27;297;1318;519;315;-352;1044;3035;1235;-1026;1617;2516;2856;5073;-446;1395;-526;-5764;1526;-484;514;-114;1036;-561;530;-517;882;-114;-859;-182;-771;2309;902;-5887;2524;946;594;133;-720;-11;109;3729;4635;2712;4598;
pasywa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3321;1862;1323;1983;4772;6122;1220;-317;3164;-1865;-224;408;-103;-588;-1050;1717;-1787;1911;-261;-3519;-987;3375;5681;3233;8373;4025;7783;2680;2744;4584;3672;669;4591;3427;4158;3552;2911;-1436;-471;854;-293;4452;1224;-2646;1908;968;1207;3961;-5761;5808;-365;-1783;2690;1365;665;757;959;-2807;-1029;-375;-2427;-1114;-4201;-3342;-1342;-7959;236;-944;-2671;-2789;1219;-1486;-2713;4517;686;3246;-100;7225;-378;
pozostałe inwestycje:;;;;;;;;;;;;;;;;;1693;5084;344;1694;-1599;-872;2175;1343;-82;4239;2525;4410;4281;4855;6964;7407;12698;6059;742;-5750;-3682;2218;4016;-474;1721;2993;2901;6145;10306;-1541;-3072;2257;-3539;-180;1133;2639;406;-1193;4244;-60;-1089;586;2186;603;233;3921;-1231;495;3973;8064;13;7432;-2910;-4636;-1632;4151;1710;-121;1544;2164;-5051;328;7314;2650;-1117;1;2310;15893;2024;1185;11013;10775;16255;9380;13095;-3445;7306;3860;7190;
aktywa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1598;3413;747;3870;800;617;1618;-857;1289;356;388;1169;1336;-1479;1339;128;2008;-775;-350;-4966;-3499;660;470;-1488;705;677;-781;3341;731;-1501;1665;2039;-2901;798;966;3977;-619;-2677;2296;1750;1232;-144;19;952;485;-1510;1271;5196;-1257;3187;-999;3363;1814;-1343;1282;4188;60;3560;-313;1797;-64;-1442;2586;239;5696;-3793;336;10743;-841;644;5225;5749;10397;5771;5472;-2857;5625;156;5751;
pasywa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;95;1671;-403;-2176;-2399;-1489;557;2200;-1371;3883;2137;3241;2945;6334;5625;7279;10690;6834;1092;-784;-183;1558;3546;1014;1016;2316;3682;2804;9575;-40;-4737;218;-638;-978;167;-1338;1025;1484;1948;-1810;-2321;730;2167;-349;-252;5431;-2502;-4701;5230;4877;1012;4069;-4724;-3293;-2914;-37;1650;-3681;1857;367;-4987;1770;4728;2411;-6813;3794;1974;5150;2865;541;5788;5026;5858;3609;7623;-588;1681;3704;1439;
Saldo błędów i opuszczeń (stan w końcu okresu);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-539;1121;648;3710;-509;948;756;-539;-172;651;2184;-985;-36;-886;453;-292;-745;-1191;-815;-4315;-2178;545;-1912;-2500;-2303;-643;-3216;-3376;-3032;-2153;-603;-836;-1025;1072;-1490;119;-1387;-466;-1069;-1126;-860;-401;-611;-351;-694;60;-478;-2525;-1740;-83;1616;3624;-470;-604;-824;-333;-1150;1055;428;935;-2645;26;986;-693;357;-950;-2736;-866;344;-3423;1005;2666;-2324;-2978;1046;4773;411;-281;-739;
Relacja rachunku bieżącego bilansu płatniczego do produktu krajowego brutto (stan w końcu okresu);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-6,6;-7,5;-5,8;-4,4;-2,7;-3,3;-3,7;-3,5;-3,8;-4,7;-4,3;-5,6;-6;-7,8;-6,2;-6,6;-5,5;-6,9;-7,2;-7,1;-1,6;-4,2;-4,5;-4,8;-5,1;-3,9;-6,1;-5,4;-4,3;-6,1;-6;-4;-6,5;-4,4;-4,1;-1,8;-2,6;-3,3;-1,9;-0,4;-3,9;-4,8;-3,2;0;-1,6;-2,1;-2,9;1,1;-0,9;0,3;-4,4;0,7;-0,2;-2;-1,6;-0,8;-1,7;-1,5;-3,7;-0,9;-0,9;-1;-1,5;2,1;0,8;3,5;1,2;4,1;0,5;1,3;-3,6;-2,8;-3,7;-2,1;-3,1;-0,9;3;0,9;1;
