Kwartał;Rachunek bieżący bilansu płatniczego (stan w końcu okresu);inwestycje bezpośrednie:;inwestycje portfelowe:;pozostałe inwestycje:;Saldo błędów i opuszczeń (stan w końcu okresu);Relacja rachunku bieżącego bilansu płatniczego do produktu krajowego brutto (stan w końcu okresu);Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym;Mieszkania, których budowę rozpoczęto;Mieszkania w budowie ogółem (stan w końcu okresu);Mieszkania oddane do użytkowania;Podaż pieniądza M3 (stan w końcu okresu);Produkt krajowy brutto (ceny bieżące);Stopa bezrobocia rejestrowanego (stan w końcu okresu);Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;Przeciętna miesięczna nominalna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych;Wskaźniki cen produkcji budowlano-montażowej;Wskaźniki cen nakładów inwestycyjnych przedsiębiorstw
2012Q1;-24507280000.0;-3466800000.0;20411320000.0;-15146920000.0;-4387000000.0;-6.5;38300.0;31400.0;718900.0;36300.0;874495800000.0;374631400000.0;13.3;3646.09;1775.07;101.4;103.7
2012Q2;-17650720000.0;2717800000.0;14021280000.0;-770400000.0;4588160000.0;-4.4;49700.0;49300.0;736600.0;31600.0;884720900000.0;394901600000.0;12.3;3496.82;1832.96;100.8;103.3
2012Q3;-16948800000.0;12972680000.0;17911800000.0;4849240000.0;-6377200000.0;-4.1;40000.0;36100.0;735800.0;37000.0;892680000000.0;398273000000.0;12.4;3510.22;1834.59;99.7;102.4
2012Q4;-8551440000.0;17346840000.0;16473720000.0;11294920000.0;509320000.0;-1.8;37300.0;25000.0;712700.0;48100.0;921411700000.0;444932700000.0;13.4;3690.3;1841.31;98.9;101.2
2013Q1;-9831160000.0;6154640000.0;18100120000.0;1737680000.0;-5936360000.0;-2.6;29500.0;21600.0;697100.0;37200.0;932005500000.0;374894100000.0;14.3;3740.05;1877.38;98.4;98.3
2013Q2;-13143880000.0;-7323080000.0;-3924760000.0;-5106040000.0;-1994480000.0;-3.3;38400.0;37400.0;703700.0;30800.0;946586400000.0;395913400000.0;13.2;3612.51;1930.18;98.0;98.4
2013Q3;-7845240000.0;12750120000.0;-667680000.0;18164320000.0;-4575320000.0;-1.9;36900.0;38900.0;708500.0;34100.0;947227600000.0;400482100000.0;13.0;3651.72;1934.81;98.1;98.5
2013Q4;-1964520000.0;-17911800000.0;2148560000.0;-256800000.0;-4819280000.0;-0.4;34000.0;29500.0;694900.0;43000.0;978908200000.0;458836400000.0;13.4;3823.32;1942.82;98.3;98.5
2014Q1;-15925880000.0;25697120000.0;3214280000.0;-4660920000.0;-3680800000.0;-3.9;34800.0;32200.000000000004;691600.0;35600.0;980377300000.0;394621400000.0;13.5;3895.31;1959.26;98.4;98.5
2014Q2;-20496920000.0;22037720000.0;32044360000.0;2508080000.0;-1716280000.0;-4.8;41900.0;40000.0;700800.0;30900.0;996171200000.0;413397800000.0;12.0;3739.97;2003.18;98.6;98.3
2014Q3;-13888600000.0;21391440000.0;10524520000.0;9356080000.0;-2615080000.0;-3.2;43800.0;42300.0;709400.0;33700.0;1021824200000.0;420936700000.0;11.5;3781.14;2000.01;99.0;98.4
2014Q4;171200000.0;18078720000.0;-15716160000.0;2580840000.0;-1502280000.0;0.0;36500.0;33600.0;699900.0;43000.0;1059015300000.0;471596400000.0;11.4;3942.67;2002.18;99.3;98.7
2015Q1;-6950720000.0;30841680000.0;15087000000.0;997240000.0;-2970320000.0;-1.6;38600.0;31800.0;700000.0;31700.0;1066042200000.0;412279300000.0;11.5;4054.89;2020.29;99.6;101.0
2015Q2;-9531560000.0;8102040000.0;14911520000.0;16781880000.0;256800000.0;-2.1;48600.0;48500.0;716200.0;32299.999999999996;1077727500000.0;433578700000.0;10.2;3854.88;2050.57;99.7;101.4
2015Q3;-12955560000.0;29373640000.0;17389640000.0;-5268680000.0;-2045840000.0;-2.9;51200.0;47700.0;726600.0;37400.0;1106539700000.0;440997200000.0;9.7;3895.33;2058.43;99.5;101.5
2015Q4;5807960000.0;10815560000.0;38665520000.0;2118600000.0;-10807000000.0;1.1;50400.0;40300.0;720600.0;46400.0;1154992600000.0;511615400000.0;9.7;4066.95;2067.69;99.3;101.7
2016Q1;-3804920000.0;33135760000.0;-26565960000.0;17004440000.0;-7447200000.0;-0.9;42700.0;34300.0;717500.0;37400.0;1162603000000.0;428321400000.0;9.9;4181.49;2074.88;99.3;102.8
2016Q2;1489440000.0;11928360000.0;30828840000.0;34513920000.0;-355240000.0;0.3;55600.0;52000.0;733200.0;36300.0;1200886000000.0;448549500000.0;8.7;4019.08;2083.89;99.4;102.2
2016Q3;-19735080000.0;15206840000.0;-3813480000.0;55640000.0;6916480000.0;-4.4;56200.0;46800.0;741700.0;38300.0;1210101400000.0;453478900000.0;8.3;4055.04;2090.18;99.7;102.1
2016Q4;3689360000.0;63853320000.0;-32301160000.0;31808960000.0;15510720000.0;0.7;57000.0;40800.0;731200.0;51300.0;1265675200000.0;522855100000.0;8.2;4218.92;2096.41;100.0;101.8
2017Q1;-808920000.0;15048480000.0;18044480000.0;-12454800000.0;-2011600000.0;-0.2;60700.0;44200.0;734900.0;40500.0;1253372800000.0;459118200000.0;8.0;4353.55;2109.47;100.3;101.4
2017Q2;-9475920000.0;-2910400000.0;3770680000.0;-19842080000.0;-2585120000.0;-2.0;70600.0;61800.0;759000.0;37800.0;1261178100000.0;478551600000.0;7.0;4220.69;2129.56;100.4;101.3
2017Q3;-7695440000.0;14085480000.0;5046120000.0;-6984960000.0;-3526720000.0;-1.6;59600.0;54800.0;767800.0;45900.0;1275942400000.0;489383700000.0;6.8;4255.59;2138.83;100.5;101.4
2017Q4;-4579600000.0;32844720000.0;2752040000.0;17766280000.0;-1425240000.0;-0.8;60000.0;45100.0;758900.0;54100.0;1324368600000.0;555740500000.0;6.6;4516.69;2173.72;101.2;101.3
2018Q1;-8324600000.0;33255600000.0;8538600000.0;7318800000.0;-4922000000.0;-1.7;66600.0;48000.0;762200.0;44600.0;1325795600000.0;489978700000.0;6.6;4622.84;2183.64;101.7;100.0
2018Q2;-7905160000.0;6779520000.0;-14415040000.0;-517880000.0;4515400000.0;-1.5;65600.0;65700.0;789700.0;38200.0;1352491900000.0;510710000000.0;5.8;4521.08;2225.02;102.5;100.0
2018Q3;-19516800000.0;23796800000.0;-2135720000.0;6608320000.0;1831840000.0;-3.7;61800.0;60300.0;803100.0;47000.0;1376164800000.0;527438699999.99994;5.7;4580.2;2236.01;103.2;99.6
2018Q4;-5491240000.0;13790160000.0;-3817760000.0;9261920000.0;4001800000.0;-0.9;63600.0;47900.0;795700.0;55300.0;1446093400000.0;598379100000.0;5.8;4863.74;2242.57;103.4;100.2
2019Q1;-4523960000.0;40219160000.0;-6612600000.0;-21618280000.0;-11320600000.0;-0.9;57300.0;53900.0;802200.0;47400.0;1457187100000.0;527507600000.0;5.9;4950.94;2273.6;103.7;100.6
2019Q2;-5264400000.0;6004840000.0;-5255840000.0;1403840000.0;111280000.0;-1.0;72300.0;61500.0;816600.0;47100.0;1478217700000.0;554322700000.0;5.3;4839.24;2336.77;103.7;100.6
2019Q3;-8679840000.0;30221080000.0;-21656800000.0;31303920000.0;4220080000.0;-1.5;71800.0;63100.0;828400.0;51200.0;1506171300000.0;568393200000.0;5.1;4931.59;2348.53;103.4;100.9
2019Q4;13131040000.0;11149400000.0;-15082720000.0;11342000000.0;-2966040000.0;2.1;67400.0;58800.0;825600.0;61700.0;1565639800000.0;638268300000.0;5.2;5198.58;2352.44;103.0;101.0
2020Q1;4399840000.0;29172480000.0;-9043640000.0;-4780760000.0;1527960000.0;0.8;59400.0;52500.0;828500.0;49600.0;1628423400000.0;559518600000.0;5.4;5331.47;2393.39;103.0;100.6
2020Q2;17479520000.0;-9403160000.0;-24182000000.0;4280000.0;-4066000000.0;3.5;62900.0;47400.0;828400.0;47500.0;1746224800000.0;529052100000.0;6.1;5024.48;2457.7;102.6;100.7
2020Q3;7074840000.0;37120440000.0;4870640000.0;9886800000.0;-11710080000.0;1.2;70100.0;67400.0;836600.0;59200.0;1762175600000.0;589122600000.0;6.1;5168.93;2480.83;102.5;100.9
2020Q4;25876880000.0;32057200000.0;-29236680000.0;68022040000.0;-3706480000.0;4.1;83700.0;56500.0;828600.0;64599.99999999999;1822727700000.0;659978300000.0;6.8;5457.98;2487.98;102.4;101.2
2021Q1;2645040000.0;56359040000.0;-629160000.0;8662720000.0;1472320000.0;0.5;84800.0;63700.0;839200.0;53100.0;1862487800000.0;595751800000.0;6.9;5681.56;2569.42;102.5;101.8
2021Q2;7729680000.0;24751240000.0;-7888040000.0;5071800000.0;-14650440000.0;1.3;87100.0;80900.0;867700.0;52400.0;1876000600000.0;621312100000.0;6.4;5504.52;2618.17;103.3;102.3
2021Q3;-22392960000.0;49669400000.0;7759640000.0;47135640000.0;4301400000.0;-3.6;83500.0;71800.0;880800.0;58700.0;1914199200000.0;666402200000.0;6.1;5657.3;2643.2;104.4;103.0
2021Q4;-19645200000.0;36683880000.0;-5790840000.0;46117000000.0;11410480000.0;-2.8;85800.0;61100.0;871300.0;70600.0;1984816200000.0;747836000000.0;5.8;5995.09;2662.25;106.5;104.1
2022Q1;-23933760000.0;73971240000.0;-14693240000.0;69571400000.0;-9946720000.0;-3.7;78000.0;53300.0;869900.0;54700.0;2009566300000.0;685984000000.0;5.8;6235.22;2744.06;109.3;108.9
2022Q2;-14329440000.0;32926040000.0;19285680000.0;40146400000.0;-12745840000.0;-2.1;93400.0;66400.0;881800.0;54500.0;1998843500000.0;726089300000.0;5.2;6156.25;2885.87;112.2;109.8
2022Q3;-21763800000.0;47508000000.0;3402600000.0;56046600000.0;4476880000.0;-3.1;66200.0;45100.0;869100.0;57800.0;2062092800000.0;781809600000.0;5.1;6480.67;2913.6;114.1;110.7
2022Q4;-7237480000.0;39405960000.0;29853000000.0;-14744600000.0;20428440000.0;-0.9;60700.0;35500.0;833100.0;71500.0;2091255500000.0;873611900000.0;5.2;6733.49;2934.62;114.8;111.4
2023Q1;21780920000.0;48586560000.0;19409800000.0;31269680000.0;1759080000.0;3.0;52100.0;38600.0;816300.0;55400.0;2140215900000.0;799909500000.0;5.4;7124.26;3118.14;112.9;109.2
2023Q2;5054680000.0;18057320000.0;42530360000.0;16520800000.0;-1202680000.0;0.9;60000.0;47000.0;806500.0;56800.0;2157333799999.9998;816722900000.0;5.1;7005.76;3430.28;110.9;106.7
2023Q3;8140560000.0;49699360000.0;18061600000.0;30773200000.0;-3162920000.0;1.0;62300.0;53300.0;810800.0;49000.0;2233889800000.0;845413600000.0;5.0;7194.95;3447.66;109.5;104.9
2023Q4;;0.0;0.0;0.0;;;67300.0;50200.0;800900.0;60100.0;2268269300000.0;934223100000.0;5.1;7540.36;3459.69;108.0;
